SITE,DATE,TIME,TYPE,SEASON,SIZE,GEO,FLOWCMS,Cl,TDS,TSS,S04,TotAlk,Hard,CdDis,CdTot,DFCr,CrDis,CrTot,DFCr,CuDis,CuTot,DFCu,FeDis,FeTot,DFFe,PbDis,PbTot,DFPb,MnDis,MnTot,DFMn,NiDis,NiTot,DFNi,SeDis,SeTot,DFSe,ZnDis,ZnTot,DFZn
ACC,5/22/2012,9:15,D,S,M,IM,0.006,25.23,257.35,0.50,48.46,103.50,114.60,0.003,0.003,0.00,0.035,0.020,1.00,0.35,0.21,1.00,71.30,105.65,0.00,0.012,0.023,0.00,8.80,11.56,0.00,0.69,0.78,0.00,0.135,0.100,1.000,0.35,0.56,0.00
ACC,6/5/2012,8:30,D,S,M,IM,0.000,29.11,356.00,0.80,51.63,115.30,118.20,0.003,0.003,0.00,0.060,0.010,1.00,0.23,0.22,1.00,63.68,96.29,0.00,0.035,0.055,0.00,14.23,19.86,0.00,0.85,0.84,1.00,0.110,0.110,0.000,1.03,1.89,0.00
ACC,1/31/2013,12:00,D,W,M,IM,0.052,29.84,308.00,0.03,83.93,100.50,125.00,0.009,0.010,0.00,0.065,0.020,1.00,0.57,0.59,0.00,30.29,36.93,0.00,0.008,0.050,0.00,7.65,9.00,0.00,0.69,0.79,0.00,0.660,0.690,0.000,1.48,1.55,0.00
ACC,2/13/2013,12:10,D,W,M,IM,0.014,29.25,291.00,0.03,85.40,86.10,132.00,0.003,0.013,0.00,0.155,0.200,0.00,0.19,0.72,0.00,24.84,75.67,0.00,0.006,0.035,0.00,8.36,19.73,0.00,0.55,0.60,0.00,0.010,0.460,0.000,0.50,0.62,0.00
ACC,2/26/2013,13:20,D,W,M,IM,0.020,28.47,268.00,0.03,76.15,82.00,114.00,0.003,0.003,0.00,0.005,0.005,0.00,0.66,0.27,1.00,22.46,30.25,0.00,0.012,0.003,1.00,5.64,6.62,0.00,0.54,0.61,0.00,0.240,0.355,0.000,1.70,2.73,0.00
ACC,3/13/2013,8:45,D,W,M,IM,0.017,26.00,269.00,1.00,64.50,83.10,106.50,0.007,0.014,0.00,0.060,0.050,1.00,1.00,1.00,0.00,12.00,22.00,0.00,0.003,0.005,0.00,1.00,5.00,0.00,1.00,1.00,0.00,0.020,0.020,0.000,2.00,2.00,0.00
ACC,3/26/2013,9:45,D,W,M,IM,0.012,29.25,318.00,0.03,83.82,82.00,123.50,0.013,0.003,1.00,0.040,0.020,1.00,0.62,0.68,0.00,24.27,36.98,0.00,0.006,0.015,0.00,7.32,9.37,0.00,0.72,0.80,0.00,0.170,0.330,0.000,0.70,1.71,0.00
ACC,4/9/2013,9:25,D,S,M,IM,0.009,27.71,287.00,0.03,77.45,75.85,129.40,0.010,0.006,0.00,0.030,0.040,0.00,0.61,0.55,1.00,21.48,39.30,0.00,0.006,0.021,0.00,6.03,8.34,0.00,0.75,0.79,0.00,0.160,0.170,0.000,0.68,1.86,0.00
ACC,4/23/2013,10:45,D,S,M,IM,0.008,29.84,336.50,0.03,85.85,100.50,143.50,0.010,0.003,1.00,0.040,0.050,0.00,0.47,0.53,0.00,18.26,32.75,0.00,0.003,0.012,0.00,6.73,9.67,0.00,0.74,0.78,0.00,0.120,0.140,0.000,0.66,1.35,0.00
ACC,5/10/2013,10:55,D,S,M,IM,0.008,30.16,300.00,0.50,73.87,100.40,129.60,0.003,0.003,0.00,0.030,0.055,0.00,1.27,0.48,1.00,19.25,23.72,0.00,0.003,0.010,0.00,3.17,4.33,0.00,0.74,0.74,0.00,0.090,0.150,0.000,0.34,0.78,0.00
CONC,5/23/2013,10:00,D,S,L,IM,0.000,90.30,460.00,2.45,28.15,252.13,261.50,0.005,0.005,0.00,0.045,0.025,1.00,0.19,0.20,0.00,69.12,142.70,0.00,0.003,0.020,0.00,17.59,31.57,0.00,0.21,0.25,0.00,0.105,0.125,0.000,0.27,0.58,0.00
CONC,6/8/2013,10:25,D,S,L,IM,0.001,109.35,338.70,1.85,23.13,285.00,297.25,0.079,0.005,1.00,0.105,0.070,1.00,0.36,0.38,0.00,63.28,213.47,0.00,0.009,0.016,0.00,141.06,165.49,0.00,0.27,0.28,0.00,0.100,0.170,0.000,0.38,0.51,0.00
KC,4/9/2012,10:10,D,S,M,IM,0.005,25.04,230.00,0.03,8.81,183.60,165.00,0.003,0.003,0.00,0.060,0.075,0.00,0.31,0.28,1.00,28.80,48.39,0.00,0.014,0.012,0.00,3.76,4.70,0.00,0.21,0.22,0.00,0.060,0.060,0.000,14.66,17.33,0.00
KC,4/23/2012,11:00,D,S,M,IM,0.005,23.97,242.70,0.03,8.04,178.00,158.30,0.003,0.003,0.00,0.190,0.090,1.00,0.32,0.22,1.00,40.87,62.55,0.00,0.003,0.011,0.00,5.47,7.19,0.00,0.19,0.21,0.00,0.070,0.060,1.000,55.09,61.84,0.00
KC,5/7/2012,10:40,D,S,M,IM,0.005,23.76,269.30,0.03,7.45,185.20,168.40,0.003,0.003,0.00,0.070,0.050,1.00,0.26,0.27,0.00,25.70,44.93,0.00,0.003,0.010,0.00,2.80,4.74,0.00,0.19,0.19,0.00,0.070,0.050,1.000,28.31,33.68,0.00
KC,5/21/2012,11:45,D,S,M,IM,0.005,24.90,260.00,0.80,6.94,187.60,170.50,0.003,0.003,0.00,0.080,0.060,1.00,0.19,0.30,0.00,24.50,42.60,0.00,0.006,0.021,0.00,1.90,4.30,0.00,0.23,0.22,1.00,0.070,0.080,0.000,0.36,0.66,0.00
KC,6/7/2012,10:23,D,S,M,IM,0.006,25.49,268.65,1.80,6.53,188.60,177.60,0.003,0.003,0.00,0.100,0.100,0.00,0.30,0.34,0.00,39.10,84.05,0.00,0.003,0.020,0.00,4.60,8.70,0.00,0.20,0.20,0.00,0.050,0.080,0.000,0.30,0.55,0.00
KC,6/18/2012,10:25,D,S,M,IM,0.030,24.95,295.30,0.58,4.94,194.75,178.35,0.005,0.005,0.00,0.240,0.080,1.00,0.22,0.23,0.00,72.74,108.14,0.00,0.003,0.012,0.00,3.65,6.77,0.00,0.18,0.21,0.00,0.055,0.050,0.000,0.30,0.21,1.00
KC,1/31/2013,8:15,D,W,M,IM,0.006,30.41,295.00,0.03,14.87,194.80,172.20,0.010,0.003,1.00,0.050,0.050,0.00,0.42,0.42,0.00,12.08,17.24,0.00,0.008,0.003,0.00,1.75,1.89,0.00,0.17,0.24,0.00,0.340,0.270,1.000,50.34,51.88,0.00
KC,2/13/2013,8:40,D,W,M,IM,0.007,27.59,273.00,0.70,11.72,196.80,169.20,0.003,0.003,0.00,0.170,0.090,1.00,0.19,0.53,0.00,11.38,13.91,0.00,0.003,0.007,0.00,2.30,2.71,0.00,0.02,0.01,1.00,0.220,0.270,0.000,0.29,0.18,1.00
KC,2/26/2013,8:40,D,W,M,IM,0.007,.,260.00,0.03,11.34,170.10,163.80,0.003,0.003,0.00,0.005,0.005,0.00,0.42,0.23,1.00,10.74,14.69,0.00,0.009,0.003,1.00,1.94,2.02,0.00,0.18,0.12,1.00,0.160,0.200,0.000,5.88,1.33,1.00
KC,3/14/2013,7:30,D,W,M,IM,0.007,29.25,315.00,0.03,12.10,177.50,174.00,0.008,0.009,0.00,0.150,0.100,1.00,0.91,0.70,1.00,5.75,5.01,1.00,0.007,0.003,0.00,0.66,0.08,1.00,0.30,0.30,0.00,0.490,0.250,1.000,0.13,0.40,0.00
KC,3/26/2013,6:30,D,W,M,IM,0.007,28.26,285.00,0.03,10.09,184.00,166.50,0.007,0.005,0.00,0.100,0.110,0.00,0.68,0.64,1.00,15.90,20.70,0.00,0.003,0.009,0.00,3.57,4.44,0.00,0.22,0.23,0.00,0.110,0.170,0.000,1.63,1.50,1.00
KC,4/9/2013,6:45,D,S,M,IM,0.007,28.45,260.00,0.03,8.26,115.80,169.40,0.009,0.007,0.00,0.070,0.100,0.00,1.11,0.49,1.00,14.50,39.60,0.00,0.007,0.040,0.00,2.85,4.69,0.00,0.19,0.22,0.00,0.080,0.050,1.000,0.45,1.19,0.00
KC,4/23/2013,6:50,D,S,M,IM,0.006,26.74,294.00,0.03,7.35,187.50,178.45,0.010,0.009,0.00,0.090,0.105,0.00,0.49,0.50,0.00,17.56,24.22,0.00,0.003,0.007,0.00,2.84,4.13,0.00,0.21,0.27,0.00,0.050,0.090,0.000,0.32,0.65,0.00
KC,5/10/2013,7:00,D,S,M,IM,0.006,26.48,272.00,15.60,6.12,188.60,175.00,0.007,0.010,0.00,0.090,0.080,1.00,0.88,0.55,1.00,18.90,38.60,0.00,0.003,0.038,0.00,2.73,5.69,0.00,0.22,0.21,1.00,0.050,0.070,0.000,0.30,1.37,0.00
KC,5/21/2013,7:35,D,S,M,IM,0.005,.,268.00,0.03,5.86,188.60,181.60,0.003,0.003,0.00,0.080,0.080,0.00,0.71,0.52,1.00,32.01,46.41,0.00,0.003,0.015,0.00,5.11,6.15,0.00,0.39,0.40,0.00,0.120,0.110,1.000,59.69,69.00,0.00
LCC,4/9/2012,10:30,D,S,S,IM,0.005,19.16,199.00,0.03,4.06,163.20,138.80,0.003,0.003,0.00,0.070,0.080,0.00,0.29,0.45,0.00,54.23,128.53,0.00,0.003,0.020,0.00,6.05,10.48,0.00,0.12,0.13,0.00,0.030,0.040,0.000,18.67,23.70,0.00
LCC,4/23/2012,11:30,D,S,S,IM,0.005,18.34,202.70,1.30,3.74,161.20,134.50,0.003,0.003,0.00,0.080,0.090,0.00,0.12,0.15,0.00,68.95,151.85,0.00,0.003,0.021,0.00,7.03,14.60,0.00,0.05,0.06,0.00,0.060,0.030,1.000,19.80,24.12,0.00
LCC,5/7/2012,11:15,D,S,S,IM,0.005,18.28,238.00,0.50,3.46,165.25,139.50,0.003,0.003,0.00,0.130,0.070,1.00,0.16,0.20,0.00,66.77,123.09,0.00,0.003,0.015,0.00,7.15,11.95,0.00,0.07,0.06,1.00,0.030,0.030,0.000,25.87,30.13,0.00
LCC,5/21/2012,11:15,D,S,S,IM,0.004,19.18,249.30,0.03,3.52,172.20,145.10,0.003,0.003,0.00,0.090,0.090,0.00,0.22,0.18,1.00,61.33,99.22,0.00,0.006,0.014,0.00,6.64,12.23,0.00,0.10,0.11,0.00,0.030,0.040,0.000,0.57,0.68,0.00
LCC,6/7/2012,11:20,D,S,S,IM,0.004,19.70,203.35,1.40,3.98,167.10,154.05,0.003,0.003,0.00,0.100,0.100,0.00,0.21,0.34,0.00,45.15,89.75,0.00,0.003,0.008,0.00,4.34,9.21,0.00,0.08,0.15,0.00,0.030,0.050,0.000,0.08,0.23,0.00
LCC,6/18/2012,11:05,D,S,S,IM,0.003,19.97,119.38,2.00,3.46,174.30,153.80,0.005,0.005,0.00,0.225,0.100,1.00,0.17,0.19,0.00,52.86,140.63,0.00,0.011,0.030,0.00,5.18,18.35,0.00,0.14,0.11,1.00,0.025,0.020,0.000,0.44,0.34,1.00
LCC,7/2/2012,9:15,D,S,S,IM,0.002,21.42,253.30,5.50,3.12,184.50,159.80,0.005,0.005,0.00,0.090,0.080,1.00,0.28,0.19,1.00,71.00,148.67,0.00,0.003,0.015,0.00,1.80,17.22,0.00,0.08,0.09,0.00,0.010,0.020,0.000,0.62,0.49,1.00
LCC,7/16/2012,9:45,D,S,S,IM,0.004,22.28,249.35,1.65,3.22,184.50,163.00,0.005,0.005,0.00,0.140,0.010,1.00,0.21,0.26,0.00,92.42,147.05,0.00,0.007,0.010,0.00,3.13,7.36,0.00,0.09,0.15,0.00,0.040,0.050,0.000,0.49,0.55,0.00
LCC,7/30/2012,9:40,D,S,S,IM,0.008,24.91,298.00,2.07,1.41,213.12,181.20,0.003,0.003,0.00,0.120,0.090,1.00,0.14,0.25,0.00,44.14,95.85,0.00,0.003,0.015,0.00,5.83,9.67,0.00,0.09,0.09,0.00,0.040,0.030,1.000,0.17,0.70,0.00
LCC,1/31/2013,8:50,D,W,S,IM,0.006,24.13,249.00,0.50,5.92,157.90,143.10,0.003,0.005,0.00,0.110,0.020,1.00,0.17,0.22,0.00,24.99,62.24,0.00,0.003,0.005,0.00,4.54,6.39,0.00,0.08,0.08,0.00,0.060,0.080,0.000,19.82,22.98,0.00
LCC,2/13/2013,9:00,D,W,S,IM,0.007,22.04,228.00,0.50,5.33,146.00,148.70,0.003,0.010,0.00,0.100,0.170,0.00,0.11,0.70,0.00,31.90,61.35,0.00,0.003,0.010,0.00,6.35,7.55,0.00,0.01,0.01,0.00,0.010,0.030,0.000,0.22,0.61,0.00
LCC,2/26/2013,9:25,D,W,S,IM,0.007,22.66,223.00,0.50,5.31,161.90,145.20,0.003,0.003,0.00,0.005,0.005,0.00,0.00,0.00,0.00,31.53,56.76,0.00,0.003,0.003,0.00,4.67,5.71,0.00,0.05,0.06,0.00,0.010,0.010,0.000,1.68,3.59,0.00
LCC,3/14/2013,8:00,D,W,S,IM,0.007,23.13,272.00,0.50,5.22,162.00,146.40,0.003,0.003,0.00,0.060,0.070,0.00,0.22,0.15,1.00,11.35,17.69,0.00,0.003,0.003,0.00,0.13,0.41,0.00,0.09,0.09,0.00,0.050,0.030,1.000,0.48,0.66,0.00
LCC,3/26/2013,7:00,D,W,S,IM,0.007,22.41,253.00,0.03,4.82,102.50,141.60,0.003,0.003,0.00,0.040,0.070,0.00,0.35,0.31,1.00,44.78,88.01,0.00,0.003,0.005,0.00,5.38,7.44,0.00,0.05,0.12,0.00,0.010,0.010,0.000,0.23,0.17,1.00
LCC,4/9/2013,7:15,D,S,S,IM,0.007,21.17,217.00,0.03,4.37,153.80,146.40,0.003,0.006,0.00,0.060,0.040,1.00,0.68,0.18,1.00,41.34,74.27,0.00,0.005,0.003,0.00,4.99,6.82,0.00,0.06,0.08,0.00,0.010,0.020,0.000,0.20,0.42,0.00
LCC,4/23/2013,7:30,D,S,S,IM,0.006,20.89,251.00,0.03,4.21,167.10,151.45,0.007,0.008,0.00,0.050,0.060,0.00,0.33,0.30,1.00,33.70,80.99,0.00,0.003,0.008,0.00,4.74,7.19,0.00,0.08,0.09,0.00,0.020,0.030,0.000,0.08,0.96,0.00
LCC,5/10/2013,7:35,D,S,S,IM,0.006,23.02,236.00,0.50,3.80,166.00,147.80,0.006,0.007,0.00,0.060,0.050,1.00,0.51,0.27,1.00,36.86,66.39,0.00,0.023,0.040,0.00,4.60,6.21,0.00,0.09,0.08,0.00,0.050,0.070,0.000,0.34,0.97,0.00
LCC,5/21/2013,8:00,D,S,S,IM,0.005,22.88,221.00,4.40,3.37,159.90,150.00,0.003,0.003,0.00,0.030,0.060,0.00,0.37,0.19,1.00,33.91,112.42,0.00,0.003,0.012,0.00,6.22,11.22,0.00,0.11,0.11,0.00,0.030,0.030,0.000,20.86,23.16,0.00
LCC,6/4/2013,7:15,D,S,S,IM,0.003,22.15,265.00,2.10,2.41,170.20,150.90,0.003,0.003,0.00,0.095,0.080,1.00,0.11,0.13,0.00,75.28,225.16,0.00,0.003,0.014,0.00,14.67,27.64,0.00,0.12,0.13,0.00,0.020,0.030,0.000,1.65,1.01,1.00
PVC,4/9/2012,11:30,D,S,M,IM,0.004,32.86,256.00,0.03,24.18,153.00,155.00,0.003,0.003,0.00,0.095,0.050,1.00,0.46,0.50,0.00,27.81,46.58,0.00,0.009,0.017,0.00,5.70,6.49,0.00,0.50,0.54,0.00,0.220,0.250,0.000,21.38,22.26,0.00
PVC,4/23/2012,12:00,D,S,M,IM,0.004,30.26,241.30,0.50,21.78,144.80,139.10,0.003,0.003,0.00,0.160,0.060,1.00,0.50,0.49,1.00,41.11,74.39,0.00,0.003,0.021,0.00,7.40,9.81,0.00,0.55,0.64,0.00,0.220,0.240,0.000,42.92,48.23,0.00
PVC,5/7/2012,12:00,D,S,M,IM,0.007,31.26,285.00,1.00,26.03,157.10,162.50,0.003,0.003,0.00,0.200,0.045,1.00,0.40,0.43,0.00,49.42,77.24,0.00,0.007,0.013,0.00,7.43,9.21,0.00,0.61,0.61,0.00,0.150,0.165,0.000,22.30,27.59,0.00
PVC,5/21/2012,12:30,D,S,M,IM,0.033,33.84,270.70,0.03,31.84,164.00,168.50,0.003,0.003,0.00,0.070,0.030,1.00,0.26,0.19,1.00,69.82,114.80,0.00,0.007,0.011,0.00,7.75,9.78,0.00,0.61,0.54,1.00,0.150,0.120,1.000,0.63,0.60,1.00
PVC,6/7/2012,12:45,D,S,M,IM,0.005,36.34,257.30,1.60,31.19,162.95,176.40,0.003,0.003,0.00,0.055,0.045,1.00,0.24,0.28,0.00,62.36,135.59,0.00,0.003,0.012,0.00,5.04,11.08,0.00,0.47,0.52,0.00,0.130,0.145,0.000,0.11,0.41,0.00
PVC,6/18/2012,12:25,D,S,M,IM,0.001,39.23,310.00,0.95,27.81,184.55,193.75,0.005,0.005,0.00,0.165,0.045,1.00,0.22,0.20,1.00,66.79,132.53,0.00,0.003,0.012,0.00,4.10,11.64,0.00,0.52,0.52,0.00,0.110,0.115,0.000,0.95,0.17,1.00
PVC,7/2/2012,10:20,D,S,M,IM,0.000,41.83,338.70,1.70,23.07,209.10,209.10,0.005,0.005,0.00,0.130,0.080,1.00,0.34,0.46,0.00,66.91,282.73,0.00,0.003,0.024,0.00,0.41,40.29,0.00,0.50,0.58,0.00,0.150,0.110,1.000,0.54,0.75,0.00
PVC,1/31/2013,10:00,D,W,M,IM,0.003,39.79,332.50,0.03,61.41,121.95,169.70,0.009,0.003,1.00,0.045,0.025,1.00,0.60,0.66,0.00,9.75,15.40,0.00,0.006,0.006,0.00,1.90,2.00,0.00,0.39,0.42,0.00,1.120,1.400,0.000,0.56,0.68,0.00
PVC,2/13/2013,10:10,D,W,M,IM,0.003,40.43,301.00,0.03,61.50,129.00,169.10,0.003,0.012,0.00,0.120,0.140,0.00,0.36,0.94,0.00,13.47,18.95,0.00,0.003,0.003,0.00,2.22,2.76,0.00,0.30,0.33,0.00,0.010,0.930,0.000,0.65,0.27,1.00
PVC,2/26/2013,10:50,D,W,M,IM,0.003,39.94,276.00,0.03,47.53,129.10,159.20,0.003,0.003,0.00,0.005,0.005,0.00,0.43,0.28,1.00,7.29,15.98,0.00,0.009,0.003,1.00,1.90,2.22,0.00,0.36,0.32,1.00,0.770,0.600,1.000,1.64,2.22,0.00
PVC,3/14/2013,9:00,D,W,M,IM,0.003,40.41,297.00,0.03,32.57,131.00,149.30,0.012,0.007,0.00,0.080,0.060,1.00,1.49,0.98,1.00,4.28,4.84,0.00,0.005,0.003,0.00,0.32,0.00,1.00,0.84,0.58,1.00,0.920,0.780,1.000,0.71,1.28,0.00
PVC,3/26/2013,8:00,D,W,M,IM,0.004,39.90,301.00,0.03,42.73,88.20,159.50,0.006,0.003,0.00,0.050,0.100,0.00,0.80,0.82,0.00,11.92,19.65,0.00,0.003,0.009,0.00,2.73,2.96,0.00,0.34,0.38,0.00,0.330,0.470,0.000,0.33,0.58,0.00
PVC,4/9/2013,8:10,D,S,M,IM,0.004,40.02,280.00,0.03,43.23,137.40,168.40,0.003,0.003,0.00,0.030,0.030,0.00,1.45,0.74,1.00,13.08,21.21,0.00,0.018,0.003,1.00,3.63,4.27,0.00,0.43,0.43,0.00,0.300,0.260,1.000,0.50,0.53,0.00
PVC,4/23/2013,8:30,D,S,M,IM,0.004,38.25,320.00,0.03,41.94,145.60,177.20,0.006,0.003,0.00,0.040,0.050,0.00,0.89,0.72,1.00,12.34,25.04,0.00,0.003,0.005,0.00,3.69,4.29,0.00,0.40,0.42,0.00,0.200,0.250,0.000,0.65,1.10,0.00
PVC,5/10/2013,8:40,D,S,M,IM,0.005,46.09,311.00,0.03,43.67,147.60,178.50,0.003,0.006,0.00,0.050,0.040,1.00,0.74,0.61,1.00,12.18,23.48,0.00,0.003,0.014,0.00,3.50,4.10,0.00,0.43,0.44,0.00,0.120,0.150,0.000,0.57,1.16,0.00
PVC,5/21/2013,9:00,D,S,M,IM,0.003,.,316.00,5.90,44.36,159.90,194.60,0.003,0.003,0.00,0.030,0.040,0.00,0.64,0.58,1.00,19.93,48.42,0.00,0.003,0.013,0.00,10.17,12.65,0.00,0.51,0.49,1.00,0.130,0.190,0.000,1.42,2.20,0.00
PVC,6/4/2013,8:15,D,S,M,IM,0.001,48.79,349.00,9.60,46.66,185.50,201.10,0.003,0.007,0.00,0.030,0.040,0.00,0.45,1.02,0.00,34.84,89.45,0.00,0.003,0.024,0.00,37.46,46.29,0.00,0.53,0.60,0.00,0.120,0.120,0.000,1.07,2.24,0.00
SANT,1/31/2013,12:52,D,W,S,S,0.027,15.20,504.00,0.25,166.24,213.20,352.10,0.007,0.003,0.00,0.060,0.010,1.00,0.38,0.44,0.00,3.28,7.96,0.00,0.003,0.009,0.00,0.93,2.38,0.00,0.17,0.15,1.00,1.440,1.490,0.000,1.46,9.40,0.00
SANT,2/14/2013,13:15,D,W,S,S,0.016,15.50,497.00,0.25,164.07,221.00,363.70,0.003,0.007,0.00,0.130,0.060,1.00,0.00,0.34,0.00,3.50,3.46,1.00,0.003,0.003,0.00,0.65,0.97,0.00,0.01,0.01,0.00,0.980,0.900,1.000,0.11,0.16,0.00
SANT,2/27/2013,10:30,D,W,S,S,0.016,15.81,491.00,0.25,152.35,223.40,353.50,0.003,0.003,0.00,0.005,0.005,0.00,0.13,0.10,1.00,1.14,4.63,0.00,0.003,0.003,0.00,0.44,0.64,0.00,0.13,0.18,0.00,0.930,0.820,1.000,1.55,1.62,0.00
SANT,3/13/2013,13:40,D,W,S,S,0.037,14.36,465.00,0.25,140.48,218.00,320.30,0.003,0.007,0.00,0.075,0.060,1.00,0.12,0.20,0.00,2.97,4.07,0.00,0.010,0.009,0.00,0.03,0.48,0.00,0.11,0.18,0.00,1.265,1.290,0.000,0.60,0.61,0.00
SANT,3/26/2013,12:10,D,W,S,S,0.029,14.09,461.00,0.70,149.07,176.30,329.95,0.010,0.007,0.00,0.050,0.040,1.00,0.53,0.48,1.00,3.87,4.85,0.00,0.023,0.007,1.00,1.14,1.62,0.00,0.15,0.17,0.00,0.825,0.815,1.000,0.59,0.15,1.00
SANT,4/9/2013,13:05,D,S,S,S,0.024,14.47,468.00,0.25,150.84,223.40,351.50,0.010,0.009,0.00,0.005,0.020,0.00,0.70,0.33,1.00,3.57,6.93,0.00,0.003,0.003,0.00,2.17,2.95,0.00,0.16,0.14,1.00,0.410,0.450,0.000,0.56,0.62,0.00
SANT,4/23/2013,11:20,D,S,S,S,0.019,14.53,487.00,1.20,150.75,243.90,388.20,0.008,0.003,0.00,0.060,0.050,1.00,0.41,0.45,0.00,7.93,8.21,0.00,0.003,0.003,0.00,3.68,5.57,0.00,0.17,0.17,0.00,0.300,0.480,0.000,0.10,0.26,0.00
SANT,5/10/2013,13:15,D,S,S,S,0.017,15.55,517.00,0.25,150.33,258.30,394.90,0.017,0.010,1.00,0.010,0.020,0.00,0.74,0.37,1.00,9.60,10.89,0.00,0.009,0.008,0.00,0.62,1.53,0.00,0.21,0.19,1.00,0.130,0.170,0.000,1.36,1.98,0.00
SANT,5/21/2013,14:05,D,S,S,S,0.006,16.20,536.00,2.15,153.58,256.25,390.60,0.010,0.008,0.00,0.005,0.005,0.00,1.90,0.69,1.00,12.43,17.36,0.00,0.003,0.024,0.00,0.52,3.31,0.00,0.22,0.25,0.00,0.085,0.090,0.000,0.75,1.18,0.00
SANT,3/6/2014,13:30,D,W,S,S,0.017,18.52,526.67,0.25,186.77,248.67,387.40,0.007,0.010,0.00,0.037,0.083,0.00,0.58,0.60,0.00,9.74,24.73,0.00,0.003,0.014,0.00,0.83,3.61,0.00,0.24,0.32,0.00,1.870,1.937,0.000,0.42,0.49,0.00
SANT,3/18/2014,13:15,D,W,S,S,0.004,.,620.00,0.80,.,270.00,412.30,0.003,0.015,0.00,0.050,0.110,0.00,0.84,0.44,1.00,9.70,96.64,0.00,0.003,0.038,0.00,1.52,7.78,0.00,0.23,0.25,0.00,0.360,0.420,0.000,0.38,13.78,0.00
SANT,4/7/2014,12:45,D,S,S,S,0.003,19.90,580.00,13.50,212.20,152.00,432.60,0.003,0.026,0.00,0.030,0.050,0.00,0.36,0.48,0.00,11.50,38.10,0.00,0.003,0.135,0.00,0.89,23.65,0.00,0.17,0.33,0.00,0.270,0.320,0.000,0.68,1.99,0.00
SANT,4/22/2014,13:00,D,S,S,S,0.002,20.13,660.00,24.50,201.70,290.00,439.80,0.003,0.087,0.00,0.030,0.120,0.00,0.37,0.81,0.00,9.74,194.46,0.00,0.003,0.206,0.00,0.76,220.80,0.00,0.23,0.65,0.00,0.110,0.120,0.000,0.44,2.77,0.00
SANT,5/5/2014,9:35,D,S,S,S,0.003,.,630.00,2.70,.,152.00,369.65,0.017,0.025,0.00,0.035,0.030,0.00,0.81,0.25,1.00,12.78,66.40,0.00,0.003,0.055,0.00,11.65,53.53,0.00,0.28,0.38,0.00,0.265,0.340,0.000,0.48,10.76,0.00
SANT,5/20/2014,12:45,D,S,S,S,0.001,22.64,660.00,3.20,234.30,312.00,484.50,0.003,0.009,0.00,0.005,0.005,0.00,0.41,0.54,0.00,37.52,61.06,0.00,0.003,0.027,0.00,0.30,29.51,0.00,0.24,0.33,0.00,0.080,0.100,0.000,0.44,0.44,0.00
SANT,5/27/2014,13:00,D,S,S,S,0.001,31.50,586.00,2.75,215.60,256.20,425.40,0.003,0.012,0.00,0.005,0.005,0.00,0.45,0.53,0.00,36.52,75.38,0.00,0.003,0.019,0.00,19.74,32.51,0.00,0.27,0.33,0.00,0.258,0.426,0.000,0.49,0.57,0.00
SANT,6/3/2014,13:15,D,S,S,S,0.000,44.11,550.00,1.40,158.63,167.00,312.70,0.012,0.017,0.00,0.005,0.005,0.00,0.28,0.68,0.00,34.59,97.46,0.00,0.003,0.011,0.00,25.41,37.79,0.00,0.31,0.33,0.00,0.470,0.510,0.000,0.51,0.60,0.00
SJC,4/9/2012,11:00,D,S,L,IM,0.004,36.07,369.00,10.10,92.14,79.60,196.90,0.005,0.040,0.00,0.040,0.120,0.00,0.42,1.27,0.00,59.45,438.16,0.00,0.019,0.185,0.00,17.10,46.33,0.00,0.21,0.33,0.00,0.390,0.360,1.000,0.63,2.33,0.00
SJC,4/23/2012,12:00,D,S,L,IM,0.007,22.91,338.70,1.10,103.80,116.30,190.60,0.011,0.022,0.00,0.040,0.030,1.00,0.16,0.20,0.00,23.77,86.14,0.00,0.003,0.011,0.00,13.39,15.08,0.00,0.13,0.17,0.00,0.360,0.400,0.000,0.53,0.51,1.00
SJC,5/7/2012,11:35,D,S,L,IM,0.005,22.67,348.00,0.25,102.60,118.30,202.10,0.005,0.023,0.00,0.540,0.020,1.00,0.24,0.21,1.00,0.57,80.67,0.00,0.003,0.010,0.00,0.00,13.82,0.00,0.01,0.14,0.00,0.010,0.220,0.000,0.40,0.61,0.00
SJC,5/21/2012,13:30,D,S,L,IM,0.002,26.25,429.35,1.10,105.05,133.25,210.10,0.010,0.028,0.00,0.037,0.067,0.00,0.16,0.27,0.00,17.80,323.85,0.00,0.007,0.055,0.00,14.82,40.41,0.00,0.18,0.27,0.00,0.133,0.123,1.000,0.72,1.07,0.00
SJC,6/4/2012,10:40,D,S,L,IM,0.002,27.08,412.65,1.45,109.25,134.65,212.55,0.015,0.012,0.00,0.025,0.020,0.00,0.07,0.15,0.00,16.52,119.40,0.00,0.006,0.024,0.00,19.84,33.44,0.00,0.18,0.22,0.00,0.095,0.100,0.000,0.81,1.16,0.00
SJC,6/19/2012,10:10,D,S,L,IM,0.001,27.38,347.30,1.30,106.55,140.80,228.15,0.010,0.125,0.00,0.200,0.035,1.00,0.38,0.23,1.00,22.60,75.43,0.00,0.014,0.008,1.00,17.91,30.72,0.00,0.21,0.21,0.00,0.095,0.075,1.000,1.31,0.64,1.00
